year,date,actor,actor_type,direction,event_type,scale,detail,source_url,source_type,confidence
2015,Aug,Open Philanthropy,funder,mixed_technical,grant_out,1200000,"OpenPhil grants $1.2M to FLI (adds to Musk pool)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2015,Aug,Open Philanthropy,funder,macrostrategy,statement,,"OpenPhil publishes cause report on potential risks from advanced AI",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2015,Dec,CFI,governance,macrostrategy,founded,,"Leverhulme Centre for the Future of Intelligence launches (Cambridge)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2015,Dec,OpenAI,research,mixed_technical,founded,,"OpenAI announced to public",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2015,,field,meta,mixed_technical,statement,3280000,"2015 field ~$3.28m, ~doubled; MIRI growth + industry beginnings",https://aiimpacts.org/changes-in-funding-in-the-ai-safety-field/,funding_analysis,high
2016,May,Open Philanthropy,funder,macrostrategy,statement,,"Karnofsky: OpenPhil makes potential risks from AI a major priority for the year",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,Jun,"Amodei,Olah,Steinhardt,Christiano,Schulman,Mane",research,reward_modeling,publication,,"'Concrete Problems in AI Safety' (arXiv:1606.06565) - landmark, seeds prosaic agenda",https://arxiv.org/abs/1606.06565,arxiv,high
2016,Jun,Open Philanthropy,funder,macrostrategy,grant_out,264525,"OpenPhil grants $264,525 to George Mason U for Robin Hanson",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,Aug,CHAI,research,value_learning,founded,,"Center for Human-Compatible AI launches (Berkeley, Stuart Russell)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,Aug,Open Philanthropy,funder,value_learning,grant_out,5555550,"OpenPhil grants $5.6M over 2yr to newly formed CHAI",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,Aug,Open Philanthropy,funder,agent_foundations,grant_out,500000,"OpenPhil grants $500k to MIRI",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,Sep,Partnership on AI,industry,governance,founded,,"Partnership on AI publicly announced",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,Oct,White House,governance,governance,publication,,"WH releases 'Preparing for the Future of AI' + National AI R&D Strategic Plan",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,Nov,Open Philanthropy,funder,governance,grant_out,199000,"OpenPhil grants $199k to EFF for Peter Eckersley",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2016,Dec,Open Philanthropy,funder,forecasting,grant_out,32000,"OpenPhil grants $32k to AI Impacts",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2016,Dec,CFAR,training,field_building,pivot,,"CFAR announces new focus on AI safety (Salamon posts)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2016,Dec,Larks,meta,field_building,publication,,"First 'AI Risk Literature Review and Charity Comparison' (annual series begins)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2016,,field,meta,mixed_technical,statement,6560000,"2016 field >50 orgs, ~$6.56m; FLI grants trigger smaller technical work; DeepMind safety 3-4 FTE",https://aiimpacts.org/changes-in-funding-in-the-ai-safety-field/,funding_analysis,high
2017,Jan,FLI,governance,governance,program_launch,,"Asilomar Conference on Beneficial AI -> 23 Asilomar AI Principles",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,Feb,EA Funds,funder,field_building,program_launch,,"EA Funds announced incl. Long-Term Future Fund (supports beneficial AI)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,Mar,Open Philanthropy,funder,macrostrategy,grant_out,2000000,"OpenPhil grants $2.0M to FHI general support",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,Mar,Open Philanthropy,funder,mixed_technical,grant_out,30000000,"OpenPhil grants $30M to OpenAI general support",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,Mar,DeepMind,industry,robustness,publication,,"DeepMind releases AI Safety Gridworlds (9 safety features, incl kill switch)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,Apr,BERI,funder,field_building,founded,,"Berkeley Existential Risk Initiative launches (Critch)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,May,Open Philanthropy,funder,governance,grant_out,1500000,"OpenPhil grants $1.5M to UCLA Law for AI governance -> AI Pulse",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2017,Jun,"Christiano,Leike et al",research,reward_modeling,publication,,"Deep RL from Human Preferences (arXiv:1706.03741) - RLHF foundation",https://arxiv.org/abs/1706.03741,arxiv,high
2017,Jul,Open Philanthropy,funder,capabilities,grant_out,2400000,"OpenPhil grants $2.4M to MILA (Montreal)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2017,Jul,Open Philanthropy,funder,governance,grant_out,300000,"OpenPhil grants ~$300k to Yale for global politics of AI (Dafoe)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2017,Oct,Open Philanthropy,funder,agent_foundations,grant_out,3750000,"OpenPhil grants $3.75M over 3yr to MIRI (after positive Logical Induction review)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,Oct,GovAI,governance,governance,program_launch,,"FHI launches Governance of AI Program (later GovAI), co-dir Bostrom & Dafoe [note: GovAI self-dates founding to 2016 at Yale under Dafoe -> moved to FHI 2017 -> independent]",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2017,Nov,"Christiano",funder,field_building,program_launch,5000,"AI Alignment Prize ($5k, funded by Christiano); discontinued after 4th round 2018",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2017,Dec,Jaan Tallinn,funder,field_building,grant_out,5000000,"Tallinn donates ~$5M to BERI Grants Program",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2017,,field,meta,field_building,statement,,"Crypto price surge drives donations to AI safety orgs; MIRI 2017 fundraiser peak",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2018,Feb,Christiano,research,forecasting,publication,,"'Takeoff speeds' - slow vs fast takeoff, influential for years",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2018,Apr,OpenAI,research,disclosure_norms,statement,,"OpenAI Charter: commit to stop-and-assist, expect reduced publishing for safety",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2018,Apr,AI Safety Camp,training,field_building,program_launch,,"First AI Safety Camp (Gran Canaria); ~2 camps/year",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2018,Apr,CHAI,research,field_building,program_launch,,"First AI Alignment Newsletter (Rohin Shah)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2018,May,Open Philanthropy,funder,field_building,program_launch,,"OpenPhil AI Fellowship first cohort (7 fellows); grants $525k Ought, $100k AI Impacts",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2018,Jul,Open Philanthropy,funder,governance,grant_out,429770,"OpenPhil grants $429,770 to Oxford/FHI for global politics of AI (Dafoe)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2018,Jul,Alignment Forum,meta,field_building,program_launch,,"AI Alignment Forum beta (successor to IAFF); GA Oct 29",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2018,Aug,LTFF,funder,agent_foundations,grant_out,488994,"LTFF (Beckstead) grants $488,994 to MIRI",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2018,Oct,Stanford Center for AI Safety,research,robustness,founded,,"Stanford Center for AI Safety (earliest Wayback snapshot aisafety.stanford.edu)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2018,Nov,MIRI,research,agent_foundations,pivot,,"MIRI announces 'nondisclosed-by-default' research policy",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2019,Jan,Open Philanthropy,funder,governance,grant_out,55000000,"OpenPhil founding grant $55M over 5yr to CSET (Georgetown, Matheny)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2019,Jan,FHI,research,scalable_oversight,publication,,"FHI: 'Reframing Superintelligence: Comprehensive AI Services' (Drexler)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2019,Feb,Open Philanthropy,funder,agent_foundations,grant_out,2112500,"OpenPhil grants $2.11M over 2yr to MIRI (first CEAS batch)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2019,Feb,OpenAI,research,disclosure_norms,statement,,"GPT-2 unveiled; weights withheld over misuse concerns - staged release debate",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2019,Mar,OpenAI,industry,capabilities,pivot,,"OpenAI LP 'capped-profit' company created under nonprofit board",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2019,Mar,Christiano,research,scalable_oversight,publication,,"'What failure looks like' - influential threat model",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2019,Apr,LTFF,funder,field_building,grant_out,923150,"LTFF announces 23 grants totaling $923,150 (~half to AI safety: MIRI, AISC, Ought)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2019,May,Open Philanthropy,funder,field_building,grant_out,2325000,"OpenPhil AI Fellowship 2nd class (8 researchers, $2.325M)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2020,,"Critch & Krueger",research,multi_agent_safety,publication,,"ARCHES paper released",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2020,,OpenAI,research,scalable_oversight,publication,,"GPT-3 unveiled; spurs prosaic-safety discussion",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2020,,AI Safety Support,training,field_building,founded,,"AI Safety Support launches",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2020,,LTFF,funder,field_building,pivot,,"LTFF increasingly shifts to funding individuals not orgs",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2020,Mar,OpenAI,research,interpretability,publication,,"'Zoom In: An Introduction to Circuits' (Olah et al) - founds mechanistic interp",https://distill.pub/2020/circuits/zoom-in/,distill,high
2021,Jan,Anthropic,research,mixed_technical,founded,,"Anthropic incorporated 26 Jan 2021 (Wikipedia-verified); senior researchers left OpenAI late 2020 over safety approach (D.Amodei, Kaplan, Olah, Clark...)",https://en.wikipedia.org/wiki/Anthropic,wikipedia,high
2021,,ARC,research,scalable_oversight,founded,,"Alignment Research Center founded (Christiano leaves OpenAI); ELK agenda",https://en.wikipedia.org/wiki/Alignment_Research_Center,wikipedia,high
2021,Jun,Redwood Research,research,ai_control,founded,,"Redwood Research founded Jun 2021 (Nate Thomas, Buck Shlegeris; SF); AI control + causal scrubbing; EIN 87-1702255 [verified longtermwiki]",https://www.longtermwiki.com/organizations/redwood-research,longtermwiki,high
2021,Dec,Redwood Research,research,field_building,program_launch,,"MLAB (ML for Alignment Bootcamp) launches, 40 participants, 3wk intensive [verified longtermwiki]",https://www.longtermwiki.com/organizations/redwood-research,longtermwiki,high
2021,,Open Philanthropy,funder,ai_control,grant_out,9400000,"Coefficient/OpenPhil -> Redwood $9.4M (2021) [verified longtermwiki]",https://www.longtermwiki.com/organizations/redwood-research,longtermwiki,high
2022,,Open Philanthropy,funder,ai_control,grant_out,10700000,"Coefficient/OpenPhil -> Redwood $10.7M (2022) [verified longtermwiki]",https://www.longtermwiki.com/organizations/redwood-research,longtermwiki,high
2023,,Open Philanthropy,funder,ai_control,grant_out,5300000,"Coefficient/OpenPhil -> Redwood $5.3M (2023) [verified longtermwiki]",https://www.longtermwiki.com/organizations/redwood-research,longtermwiki,high
2023,,Redwood Research,research,ai_control,publication,,"AI Control research agenda; causal scrubbing; REMIX interp program (~10-15 juniors) [verified longtermwiki]",https://www.longtermwiki.com/organizations/redwood-research,longtermwiki,high
2021,,Anthropic,research,interpretability,program_launch,,"Transformer Circuits Thread / framework for transformer circuits (Elhage et al)",https://transformer-circuits.pub/,anthropic,high
2021,Dec,MATS,training,field_building,program_launch,,"SERI MATS founded: first trial cohort ran ~Oct-Dec 2021 under Evan Hubinger/SERI; announced 6 Dec 2021 on LW/AF [FLAG RESOLVED - primary LW post, was med '~2021-2022']",https://www.lesswrong.com/posts/FpokmCnbP3CEZ5h4t/ml-alignment-theory-program-under-evan-hubinger,lw,high
2022,,Anthropic,research,interpretability,publication,,"'Toy Models of Superposition' (Elhage et al) - superposition problem",https://transformer-circuits.pub/2022/toy_model/index.html,anthropic,high
2022,,CAIS,research,field_building,founded,,"Center for AI Safety founded 2022 (Hendrycks, Zhang) [FLAG RESOLVED - revenue verified via ProPublica 990, EIN 88-1751310: FY2022 $6,660,060 / FY2023 $16,089,191 / FY2024 $10,235,085]",https://projects.propublica.org/nonprofits/organizations/881751310,propublica,high
2022,,ARC Evals,research,evals,program_launch,,"ARC Evals founded (Beth Barnes) as evals division of ARC",https://www.longtermwiki.com/organizations/arc-evals,longtermwiki,high
2022,Mar,Conjecture,research,ai_control,founded,,"Conjecture founded Mar 2022 (Leahy, Black, Alfour); born out of EleutherAI; focus = control problem / Cognitive Emulation [verified /about]",https://www.conjecture.dev/about,org,high
2022,Oct,FAR AI,research,mixed_technical,founded,,"FAR.AI started Jul 2022, incorporated Oct 2022 (Adam Gleave, Karl Berzins); in-house research + grants + FAR.Labs [verified /about]",https://far.ai/about,org,high
2022,Feb,FTX Future Fund,funder,field_building,program_launch,160000000,"FTX Future Fund launches; pledged ~$160M, regrantor model ($100k-few M budgets)",https://www.longtermwiki.com/funding-programs/ftx-future-fund-general-grants,longtermwiki,high
2022,Aug,FTX Future Fund,funder,mixed_technical,statement,32000000,"FTX FF ~$32M to AI safety Feb-Aug 2022 (estimate from FTX FF grants DB per EAF/LW overview; FTX FF's own Jun-2022 update reported $20M to AI by then). [FLAG RESOLVED - re-sourced off Fortune paywall]. Kept as 'statement' not 'grant_out' to avoid double-count with the itemized FTX regrants below (which are a subset of this total)",https://forum.effectivealtruism.org/posts/XdhwXppfqrpPL2YDX/an-overview-of-the-ai-safety-funding-situation,eaf,med
2022,Nov,FTX Future Fund,funder,field_building,closed,,"FTX collapse; Future Fund board resigns, most grants unhonored - funding shock",https://fortune.com/2022/11/15/sam-bankman-fried-ftx-collapse-a-i-safety-research-effective-altruism-debacle/,news,high
2023,,ARC Evals,research,evals,publication,,"ARC Evals does pre-deployment evals for GPT-4 and Claude 2 (H1 2023); autonomous replication",https://metr.org/,org,high
2023,May,CAIS,research,governance,statement,,"CAIS 'Statement on AI Risk' (extinction risk), 600+ signatories incl AI lab leaders",https://safe.ai/work/press-release-ai-risk,cais,high
2023,Jul,OpenAI,research,scalable_oversight,program_launch,,"OpenAI Superalignment team announced (Sutskever, Leike); 20% compute over 4yr",https://openai.com/index/introducing-superalignment/,openai,high
2023,Sep,Anthropic,research,governance,statement,,"Anthropic Responsible Scaling Policy v1 (ASL levels)",https://www.anthropic.com/news/anthropics-responsible-scaling-policy,anthropic,high
2023,Oct,Anthropic,research,interpretability,publication,,"'Towards Monosemanticity' - sparse autoencoders extract interpretable features",https://transformer-circuits.pub/2023/monosemantic-features,anthropic,high
2023,Oct,Timaeus,research,interpretability,founded,142000,"Timaeus founded 22 Oct 2023 (Hoogland ED); singular learning theory + developmental interp; $142k Manifund grant (Hubinger/Kidd) [verified]",https://timaeus.co/blog/updates/2023-10-22-timaeus,timaeus,high
2023,,Apollo Research,research,evals,founded,,"Apollo Research founded; evals for deception/scheming",https://www.apolloresearch.ai/,org,high
2023,Nov,UK AISI,governance,governance,founded,,"UK AI Safety Institute established around Bletchley Summit; Bletchley Declaration",https://www.gov.uk/government/publications/ai-safety-institute-overview,gov,high
2023,Dec,OpenAI,research,scalable_oversight,publication,,"'Weak-to-strong generalization' (arXiv:2312.09390) - superalignment empirical",https://arxiv.org/abs/2312.09390,arxiv,high
2024,Jan,Anthropic,research,model_organisms,publication,,"'Sleeper Agents: Training Deceptive LLMs That Persist' (Hubinger et al) - model organisms",https://arxiv.org/abs/2401.05566,arxiv,high
2024,Apr,FHI,research,macrostrategy,closed,,"Future of Humanity Institute closes after 19 years (Oxford wind-down)",https://www.futureofhumanityinstitute.org/,org,high
2024,,METR,research,evals,pivot,,"ARC Evals spun out as independent METR (Model Evaluation and Threat Research)",https://metr.org/,org,high
2024,May,OpenAI,research,scalable_oversight,closed,,"OpenAI dissolves Superalignment team after Sutskever & Leike depart; safety redistributed",https://www.cnbc.com/2024/05/17/openai-superalignment-sutskever-leike.html,news,high
2023,Nov,US AISI,governance,governance,founded,,"US AI Safety Institute founded Nov 2023 within NIST [Wikipedia-verified; was mislabeled 2024]",https://en.wikipedia.org/wiki/Artificial_intelligence_safety_institute,wikipedia,high
2025,Feb,UK AISI,governance,governance,pivot,,"UK AI Safety Institute renamed AI Security Institute (Feb 2025) [Wikipedia-verified]",https://en.wikipedia.org/wiki/AI_Safety_Institute_(United_Kingdom),wikipedia,high
2025,,US AISI,governance,governance,pivot,,"US AI Safety Institute (NIST) reorganized as Center for AI Standards and Innovation (CAISI) - 'Safety' dropped from name [verified nist.gov/aisi redirects to nist.gov/caisi]",https://www.nist.gov/caisi,gov,high
2018,,GovAI,governance,governance,statement,,"GovAI publishes first research agenda - helps define AI governance field",https://www.governance.ai/,org,med
2019,,field,meta,mixed_technical,statement,40000000,"EA spent ~$40M on AI safety globally in 2019 (OpenPhil major contributor)",https://www.lesswrong.com/posts/WGpFFJo2uFe5ssgEb/an-overview-of-the-ai-safety-funding-situation,lw,med
2019,,SFF,funder,field_building,founded,2000000,"Survival and Flourishing Fund founded; seeded ~$2M via BERI (Tallinn)",https://donations.vipulnaik.com/donor.php?donor=Survival+and+Flourishing+Fund,vipulnaik,high
2020,,SFF,funder,field_building,grant_out,5445000,"SFF 2020 distributes ~$5.45M (H1 $1.82M + H2 $3.625M)",https://survivalandflourishing.fund/,sff,high
2021,,SFF,funder,field_building,grant_out,19365000,"SFF 2021 distributes ~$19.4M (H1 $9.756M + H2 $9.609M) - ~4x jump",https://survivalandflourishing.fund/,sff,high
2022,,SFF,funder,field_building,grant_out,18063000,"SFF 2022 distributes $18.06M (H1 $8.063M + H2 $10M) [CORRECTED - was undercounted as $10M/H2-only; verified SFF announcements]",https://survivalandflourishing.fund/announcements,sff,high
2023,,SFF,funder,field_building,grant_out,42290000,"SFF 2023 distributes $42.29M (H1 $21M + H2 $21.29M, incl $9.62M via Lightspeed/Tallinn) - peak [verified SFF announcements]",https://survivalandflourishing.fund/announcements,sff,high
2024,,SFF,funder,field_building,grant_out,23960000,"SFF 2024 distributes $19.86M main + $4.1M flexHEGs round [verified SFF announcements; closes 2024 tail]",https://survivalandflourishing.fund/announcements,sff,high
2025,,SFF,funder,field_building,grant_out,34920000,"SFF 2025 distributes $34.92M [verified SFF announcements; closes 2025 tail]",https://survivalandflourishing.fund/announcements,sff,high
2022,,MATS,training,field_building,program_launch,,"SERI MATS 2nd cohort (summer 2022, Berkeley; mentors incl Hubinger, Barnes, Wentworth, Gao, Armstrong) - de-duplicated from a redundant 2021 launch row",https://www.lesswrong.com/posts/8vLvpxzpc6ntfBWNo/seri-ml-alignment-theory-scholars-program-2022,lw,high
2022,,BlueDot Impact,training,field_building,program_launch,,"AI Safety Fundamentals (BlueDot Impact) - entry course, alignment+governance tracks",https://bluedot.org/,program,med
2023,,ARENA,training,field_building,program_launch,,"ARENA technical ML-engineering bootcamp for alignment",https://www.arena.education/,program,med
2022,,PIBBSS,training,field_building,program_launch,,"PIBBSS fellowship (interdisciplinary AI safety)",https://pibbss.ai/,program,med
2023,,Constellation,training,field_building,program_launch,,"Astra Fellowship (Constellation) - flagship in-person mentored fellowship",https://constellation.org/programs/astra,org,med
2025,,Open Philanthropy,funder,technical_safety,grant_out,40000000,"OpenPhil/Coefficient Technical AI Safety RFP (launched early 2025, EOI due 15 Apr 2025): 'roughly $40M over next 5 months, potentially significantly more' across 21 research areas [planned allocation, not disbursed total; corrected from mis-dated 2024]",https://coefficientgiving.org/funds/navigating-transformative-ai/request-for-proposals-technical-ai-safety-research/,openphil,high
2021,,MIRI,research,agent_foundations,statement,7500000,"MIRI budget ~$7.5M/yr (2020-2021); ~$30M reserves after big crypto donations",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,CHAI,research,value_learning,statement,1250000,"CHAI budget $1.65M (2020) -> $1.25M (2021, below plan due to pandemic); ~$11M reserves [was mislabeled CSER by search summary - corrected via section headers]",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,CSER,governance,macrostrategy,statement,1300000,"CSER budget $854k (2020) -> $1.3M (2021); grants end by mid-2024",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,GCRI,research,macrostrategy,statement,415000,"GCRI budget $300k (2020) -> $415k (2021); ~$600k reserves",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,GovAI,governance,governance,statement,,"GovAI ~$3.5M cash, ~2-3yr runway (2021)",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,Ought,research,scalable_oversight,statement,1400000,"Ought budget $1.2M (2020) -> $1.4M (2021), plan $2M 2022; ~$3.8M reserves",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,AI Impacts,research,forecasting,statement,240000,"AI Impacts budget $280k (2020) -> $240k (2021), plan $650k 2022",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,AI Safety Camp,training,field_building,statement,29665,"AI Safety Camp budget $11k (2020) -> $29.7k (2021), plan $153k 2022",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,Lightcone Infrastructure,meta,field_building,statement,1300000,"Lightcone (LessWrong/AF infra) budget $500k (2020) -> $1.3M (2021); ~first EA org to pay ~market salaries",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,high
2021,,CLR,research,multi_agent_safety,statement,,"Center on Long-Term Risk (ex-FRI) active; s-risk/cooperative AI focus",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,med
2021,,CLTR,governance,governance,founded,,"Centre for Long-Term Resilience (ex-Alpenglow); UK policy",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,med
2021,,Convergence,research,macrostrategy,statement,10000,"Convergence Analysis budget $14k (2020) -> $10k (2021)",https://www.greaterwrong.com/posts/C4tR3BEpuWviT7Sje/2021-ai-alignment-literature-review-and-charity-comparison,larks,med
2022,,FTX Future Fund,funder,field_building,statement,50000000,"FTX FF regrants DB (archived): >$50M via 100+ regrantors, 6mo test; 172 sub-$25k regrants ~$1.8M [Wayback, dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Jul,FTX Future Fund,funder,ai_control,grant_out,6600000,"FTX FF -> Redwood Research (+MLAB) 18mo salaries/compute [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,May,FTX Future Fund,funder,scalable_oversight,grant_out,5000000,"FTX FF -> Ought (Elicit, process-based supervision) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Aug,FTX Future Fund,funder,field_building,grant_out,1331500,"FTX FF -> Safety Philosophers Program (philosophy.safe.ai / CAIS) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Aug,FTX Future Fund,funder,field_building,grant_out,1025000,"FTX FF -> Fund for Alignment Research (FAR) operations [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
2022,Mar,FTX Future Fund,funder,field_building,grant_out,1000000,"FTX FF -> Manifold Markets (prediction markets) [Wayback dead site]",https://web.archive.org/web/20221126235604/https://ftxfuturefund.org/our-regrants/,wayback,high
