source_id,name,type,url,coverage,status,notes
S47,Nonlinear Network,forum,https://forum.effectivealtruism.org/posts/Qoecey2umNjcqEGHP/apply-to-greater-than-50-ai-safety-funders-in-one,Nonlinear conduit ~$2.7M+ statement,mined,"Single-application conduit to 50+ funders; facilitated ~$1.5M + ~$1.2M rounds (+~$500k). Conduit → overlaps other funders, not summed (statement)."
S48,Singapore AISI / Digital Trust Centre,gov,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/factsheets/2024/digital-trust-centre,Singapore AISI (DTC S$50M 2022),mined,"DTC set up 2022 with S$50M IMDA funding at NTU; designated national AISI in 2024 (AI Verify). 2022 seed broader trust-tech → statement."
S49,DARPA AI Cyber Challenge (AIxCC),org,https://aicyberchallenge.com/overview/,DARPA AIxCC $29.5M prizes 2023-2025,mined,"$29.5M cumulative prize purse (incl $8.5M final, $7M small-business) for AI auto-patching software vulns. AI-for-cyber, adjacent → statement."
S50,IARPA TrojAI,gov,https://www.iarpa.gov/research-programs/trojai,IARPA TrojAI backdoor detection,mined,"Research to detect Trojan/backdoor attacks in trained AI models before deployment. No public total figure → statement."
S51,GDM Frontier Safety Framework / lab safety spend,wiki,https://www.longtermwiki.com/wiki/E703,Corporate safety spend est. 1-8%,mined,"Google DeepMind Frontier Safety Framework (2024, updated 2025). Industry safety spend est. 1-8% of budgets (~$700M-1.25B/yr sector-wide, UNCONFIRMED) → statement."
S52,Goodfire Series A,company,https://www.goodfire.ai/blog/announcing-our-50m-series-a,Goodfire $50M Series A Apr 2025 (interpretability),mined,"VC equity (Menlo lead; Anthropic/Lightspeed/B Capital). event_type=investment, separate lens, not a grant."
S53,Gray Swan Series A,company,https://www.grayswan.ai/news/gray-swan-announces-series-a,Gray Swan $40M Series A Jun 2026,mined,"Wing+Madrona co-lead; AI-security/red-teaming (CMU). $50M total disclosed. investment lens; 2026 partial."
S54,Lakera Series A (TechCrunch),news,https://techcrunch.com/2024/07/24/lakera-which-protects-enterprises-from-llm-vulnerabilities-raises-20m/,Lakera $20M Series A Jul 2024; founded 2021 Zurich,mined,"Atomico lead; GenAI/prompt-injection security; $30M total. Used for both investment and founded-2021 rows."
S55,HiddenLayer Series A,company,https://www.hiddenlayer.com/news/hiddenlayer-raises-50m-in-series-a-funding-to-safeguard-ai,HiddenLayer $50M Series A Sep 2023,mined,"M12/Microsoft + Moore Strategic Ventures lead; ML-security platform. investment lens."
S56,Protect AI funding + acquisition (vendor cmp),analysis,https://aicompliancevendors.com/compare/lakera-vs-protect-ai,Protect AI $108.5M total VC; founded 2022,mined,"Seed $14M/A $35M/B $60M (Evolution Equity). Acquired by Palo Alto Networks 2025. investment + founded-2022 rows (med confidence, vendor comparison page)."
S57,Palo Alto acquires Protect AI (SEC 10-Q),sec,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000027/R37.htm,Protect AI acquisition $634.5M Jul 2025,mined,"SEC filing: total consideration $634.5M (cash $607.4M + $27.1M replacement awards). Equity exit → statement, not grant."
S58,Craig Newmark giving (Chronicle),news,https://sandbox.philanthropy.com/news/craigslist-founder-signs-giving-pledge-and-narrows-focus/,Craig Newmark ~$14M/decade Common Sense Media (cyber+AI safety),mined,"Individual donor; mixed cyber/AI-safety scope → statement, not summed into AI-safety $-charts."
S59,Global AISI network funding (CFG.eu),analysis,https://cfg.eu/the-ai-safety-institute-network-who-what-and-how/,UK AISI ~£50M/yr through 2030; network budgets,mined,"UK AISI annual ~£50M budget committed to end of decade (largest national AISI). statement (annual, not one-off)."
S60,Germany DE-AISI launch (ad-hoc-news),news,https://www.ad-hoc-news.de/wissenschaft/de-aisi-deutschland-startet-ki-sicherheitsinstitut-mit-100-millionen-euro/69517317,DE-AISI 2026; Bitkom proposes >=EUR100M + EUR75M/yr,mined,"National Security Council green-lit DE-AISI on BSI/BNetzA; EUR amounts proposed by Bitkom, not confirmed budget → statement; 2026 partial."
S61,India AI Mission / AISI (IndiaAI),gov,https://indiaai.gov.in/news/cabinet-approves-india-ai-mission-at-an-outlay-of-rs-10-372-crore,IndiaAI Mission Rs 10,372 cr/5yr; AISI ~Rs 20 cr,mined,"Mission mostly compute/GPU (~$1.25B); AISI initial allocation ~Rs 20 crore (~$2.4M) safety-specific → statement."
S62,EleutherAI about page,org,https://www.eleuther.ai/about,EleutherAI founded Jul 2020,mined,"Leahy/Black/Gao; open-source LLM collective (GPT-J/NeoX), shifting to interpretability & alignment. founded event."
S63,Apart Research (Longterm Wiki),wiki,https://longterm-wiki.vercel.app/wiki/E1156,Apart Research founded 2022; 2025 funding $619,921,mined,"Esben Kran, Copenhagen; AI-safety hackathons/sprints + evals; 22 peer-reviewed papers. founded event."
